,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
190,Instagram,"Dimitri Vegas & Like Mike",661795,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S
191,"quando a bad bater - ao vivo","Luan Santana",656084,https://open.spotify.com/track/5gvrBqNFFEWcxYPt3mamvJ
192,"Te Robaré","Nicky Jam",653661,https://open.spotify.com/track/4PJ3umtW1aWdfh5EITHc6T
193,Somebody,"Internet Money",650119,https://open.spotify.com/track/735RSTb2xbtWbDtKD9XDYi
194,Better,Khalid,646078,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
195,"Jocelyn Flores",XXXTENTACION,645914,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
196,"Chama Ela (feat. Pedro Sampaio)",Lexa,640954,https://open.spotify.com/track/14kRWkCWBYfQqILflEcpSJ
197,"Cheirosa - Ao Vivo","Jorge & Mateus",636220,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da
198,"Heartless (feat. Morgan Wallen)",Diplo,635259,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
199,"Playing Games (with Bryson Tiller) - Extended Version","Summer Walker",632619,https://open.spotify.com/track/2xyx0o4xNOLLjBSbOOdcbA
200,"Murder On My Mind","YNW Melly",631815,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
